New York City Department of Education,,,,,,,,,,,,,,,,,,,,,,,,,,
Graduation Rate Report,,,,,,,,,,,,,,,,,,,,,,,,,,
Borough Graduation Rate,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cohort,Total Grads,,Total Regents,,,Advanced Regents,,,Regents without Advanced,,,Local,,,Still Enrolled,,Dropout,,SACC (IEP Diploma),,TASC (GED),
Borough,Category,Cohort Year,Cohort,#,#,% of cohort,#,% of cohort,% of grads,#,% of cohort,% of grads,#,% of cohort,% of grads,#,% of cohort,% of grads,#,% of cohort,#,% of cohort,#,% of cohort,#,% of cohort
Bronx,Asian,2012,4 year August,981,875,89.2,855,87.2,97.7,543,55.4,62.1,312,31.8,35.7,20,2.0,2.3,71,7.2,31,3.2,2,0.2,2,0.2
Bronx,Asian,2011,4 year August,957,841,87.9,827,86.4,98.3,606,63.3,72.1,221,23.1,26.3,14,1.5,1.7,81,8.5,30,3.1,4,0.4,1,0.1
Bronx,Asian,2010,4 year August,920,792,86.1,783,85.1,98.9,556,60.4,70.2,227,24.7,28.7,9,1.0,1.1,80,8.7,38,4.1,7,0.8,3,0.3
Bronx,Asian,2009,4 year August,952,809,85.0,792,83.2,97.9,561,58.9,69.3,231,24.3,28.6,17,1.8,2.1,83,8.7,47,4.9,9,0.9,4,0.4
Bronx,Asian,2008,4 year August,889,755,84.9,748,84.1,99.1,558,62.8,73.9,190,21.4,25.2,7,0.8,0.9,90,10.1,30,3.4,11,1.2,3,0.3
Bronx,Asian,2007,4 year August,884,773,87.4,733,82.9,94.8,528,59.7,68.3,205,23.2,26.5,40,4.5,5.2,67,7.6,34,3.8,5,0.6,5,0.6
